1`[1,~1,~1,~0.98556,~0.80868,~0.6689,~0.4561,~1,~0.77778,~1,~1,~1,1,0.49254,0.5,~1]++
1`[1,2.2204e~16,1,~0.95639,~0.64659,~0.62118,~0.54818,0,~0.77778,~1,~0.71429,~1,~1,~0.99502,~0.995,~1]++
1`[~1,2.2204e~16,1,~0.96418,~0.88574,~0.94034,~0.89722,~1,~0.77778,~1,~0.71429,~1,~1,~0.99005,~0.99,~1]++
1`[~1,2.2204e~16,~1,~0.99622,~0.9287,~0.93139,~0.85653,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,1,~0.88356,~0.23605,~0.88367,~0.82013,~1,~0.11111,~0.75,~0.42857,~0.33333,~1,~0.84179,~0.9,~1]++
1`[1,2.2204e~16,1,~0.91666,~0.60629,~0.87472,~0.80942,~1,0.11111,~0.25,~0.42857,~1,~1,~0.97015,~0.985,~1]++
1`[~1,2.2204e~16,~1,~0.99142,~0.98937,~0.94034,~0.88223,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,~1,~0.98515,~0.97298,~0.9299,~0.83726,0,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99962,~0.99601,~0.96719,~0.94861,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.75554,~0.5279,~0.91051,~0.88865,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,1,~0.98416,~0.82374,~0.90753,~0.81799,~1,~0.77778,~0.75,~1,~1,~1,~0.99801,~0.998,~1]++
1`[~1,~1,1,~0.98585,~0.76838,~0.92543,~0.88223,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,~1,~0.97478,~0.96324,~0.80761,~0.72805,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,1,~0.96944,~0.65412,~0.56152,~0.57602,~1,~0.77778,~0.75,~1,~1,~1,~0.99552,~0.9955,~1]++
1`[~1,~1,~1,~0.99397,~0.89105,~0.89113,~0.85439,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99753,~0.99336,~0.80761,~0.91863,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,~1,~0.98483,~0.98184,~0.88367,~0.79443,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99763,~0.98494,~0.98807,~0.9636,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,1,~0.96949,~0.64438,~0.88218,~0.78373,~1,~0.33333,~0.75,~0.42857,~1,~1,~0.95672,~0.975,1]++
1`[1,2.2204e~16,1,~0.9416,~0.22941,~0.38702,~0.26981,0,~0.77778,~1,~0.71429,~1,~1,~0.99502,~0.995,~1]++
1`[~1,~1,1,~0.96468,~0.68999,~0.7569,~0.69807,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,1,~0.97742,~0.8543,~0.90455,~0.80728,~1,~0.55556,~1,~0.71429,~0.33333,~1,~0.89055,~0.9,~1]++
1`[1,2.2204e~16,1,~0.95374,~0.64659,~0.45861,~0.40685,~1,~0.55556,~1,~0.42857,~1,~1,~0.98507,~0.99,~1]++
1`[~1,2.2204e~16,~1,~0.96556,~0.97564,~0.74646,~0.80086,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,~1,~0.98899,~0.85518,~0.80611,~0.71734,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,1,~0.97316,~0.79761,~0.82849,~0.80728,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.97393,~0.78565,~0.85981,~0.82441,~1,~0.77778,~1,~0.71429,~1,~1,~0.9801,~0.98,~1]++
1`[~1,~1,1,~0.96237,~0.66032,~0.77629,~0.69593,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.98669,~0.83304,~0.91946,~0.85011,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,1,~0.97161,~0.83481,~0.78523,~0.84797,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,~1,~0.9978,~0.97919,~0.94929,~0.86724,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.98371,~0.93977,~0.93139,~0.90578,~1,~0.77778,~0.75,~1,~1,~1,~0.99652,~0.9965,~1]++
1`[~1,~1,1,~0.97557,~0.77325,~0.81655,~0.78801,~1,~0.77778,~0.75,~1,~1,~1,~0.9995,~0.9995,~1]++
1`[~1,2.2204e~16,1,~0.98675,~0.83835,~0.91648,~0.85225,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,1,~0.98249,~0.86315,~0.89411,~0.90364,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.98368,~0.90478,~0.85831,~0.88651,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,1,~0.31649,0.47254,~0.66592,~0.48608,0,0.11111,~0.25,~0.42857,~1,~1,~0.96915,~0.99,1]++
1`[1,~1,~1,~0.99546,~0.93844,~0.92394,~0.85225,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,~1,~0.98741,~0.71568,~0.76883,~0.6167,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,1,~0.98756,~0.70283,~0.82401,~0.63597,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.20279,~0.18733,~0.80761,~0.80728,~1,~0.77778,~1,~0.71429,~1,~1,~0.99005,~0.99,1]++
1`[1,~1,1,~0.70702,~0.31665,~0.91648,~0.84582,~1,~0.11111,~0.75,~0.42857,~0.33333,~1,~0.84627,~0.9,1]++
1`[1,~1,1,~0.56225,~0.18866,~0.88069,~0.80942,~1,~0.11111,~0.5,~0.71429,~0.33333,~1,~0.83731,~0.85,1]++
1`[~1,~1,~1,~0.99747,~0.88485,~0.95824,~0.85867,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,1,~0.98051,~0.64216,~0.82849,~0.72805,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99757,~0.94464,~0.92692,~0.83726,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99078,~0.8698,~0.85682,~0.75161,~1,~0.77778,~0.75,~1,~1,~1,~0.9995,~0.9995,~1]++
1`[~1,~1,~1,~0.99329,~0.88485,~0.89709,~0.78158,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,~1,~0.9306,~0.81267,~0.92841,~0.87794,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.98302,~0.91674,~0.85981,~0.90792,~1,~0.77778,~1,~0.71429,~1,~1,~0.99005,~0.99,~1]++
1`[~1,~1,~1,~0.98849,~0.79805,~0.78225,~0.72591,~1,~0.77778,~0.75,~1,~1,~1,~0.99801,~0.998,~1]++
1`[~1,2.2204e~16,~1,~0.99696,~0.96014,~0.94183,~0.94861,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.97566,~0.71036,~0.73453,~0.7666,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99893,~0.99646,~0.91201,~0.95503,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
